taxa,PC1,PC2,PC3,PC4,PC5,PC6,PC7
PI17548,-59.6566306558567,-37.2228007079012,88.8996863523132,-104.848736430613,28.8790594765056,-75.213055291741,20.1033544977248
PI24969,95.7141553058332,-146.49071018197,85.8508822869704,38.4342834981735,-39.7646708818561,108.471595976528,-0.365095013235023
PI267573,9.42939016032478,-43.6365413101101,9.90649847252725,52.9858672056957,34.1827182535955,-7.42120059350325,-30.4582915211536
PI276837,126.105240920577,121.350983951502,-21.371184824733,44.4553822290172,-19.0689606650459,-24.0256246426366,53.7489856507087
PI291234,26.6346577082484,-116.29258902877,46.20832829775,109.827461206386,8.34234014853928,-91.2448135235389,-1.42388058122952
PI291235,27.1217092318093,-137.031808141301,55.6837084533595,117.064823942806,10.2732095049063,-106.163305411756,4.61033625346108
PI297130,80.6016168479927,106.731439557471,-31.3975147581478,85.940381845736,27.5609971927878,-16.504261821858,-23.7711759914701
PI297171,-10.1406881693732,19.4363389765275,-39.2070356580273,19.0995390472006,70.4741664130351,-16.1077879197472,-73.7726341525648
PI297245,99.5341503638533,113.720136456047,-35.6675394135262,101.071361156225,12.3055649984664,-23.5648154786865,-17.3129763784424
PI297247,-61.3111803355303,38.2787815136715,-36.1721581020533,35.4408106706157,26.4766460795108,-32.8519350350424,-81.8669682163033
PI329435,19.6382174464293,46.1506417027816,9.47672909592209,-44.9594427393965,-82.3112924105103,-24.2354733719957,15.092194365457
PI329440,-50.6320351697175,8.27907682020307,61.3754918567925,-46.6218423185392,-79.9142035993636,39.6189896949109,-18.6088890561663
PI35038,-144.68360227835,30.5046145612069,53.4959524184518,-104.627993789275,-21.5167665350877,-29.8271524297656,-27.9209140126125
PI457747,17.6758014907132,-86.7018385488124,23.4267023758613,97.7045590874308,-10.8157424941505,42.1787734328357,-36.106200242112
PI505722,-65.9497263374999,24.152557973425,1.44025046903831,-64.6686925014438,57.0056423629621,-38.1508714030204,-83.1324696228185
PI505735,71.1179232596378,98.3278449137729,-30.4526899236956,77.5766266124151,17.6550867739043,-23.5617163363444,-23.86273084886
PI506069,46.2492753659768,-69.6838044281934,-117.858361508694,-64.1302234729464,81.6775994943629,-12.94170175207,27.2810335539306
PI508366,49.8282962826774,-72.5227333868461,-124.83530762386,-78.6823551119877,103.164367077696,-4.91674848558436,47.0839767161072
PI508372,73.1179450742229,77.1464015338618,-44.6309177040616,96.0102551128307,46.0716360035151,-10.1328848306409,-47.6182220961103
